ABB_DIST_NAME,STAT,LAST_UPDATE,JXTN_STAT,Jurisdiction Last Updated,STATE,COUNTY,JXTN,PARENT_JXTN,DIST_NAME,BYLAW_EFF,CHANGE_EXP,DIST_MAP,EXT_DIST,OVER,DIST_TYPE,AFF_DIST,ELD_DIST,1FDP,2FDP,3FDP,4FDP,1F_MIN_LOT,1F_MIN_LOT_UNITS,1F_FSET,1F_FSET_UNITS,1F_SSET,1F_SSET_UNITS,1F_RSET,1F_RSET_UNITS,1F_MAX_LOT_BLDG,1F_MAX_LOT_BLDG_UNITS,1F_MAX_LOT_IMP,1F_MAX_LOT_IMP_UNITS,1F_PARK,1F_PARK_UNITS,1F_STORIES,1F_STORIES_UNITS,1F_HEIGHT,1F_HEIGHT_UNITS,1F_FTA,1F_FTA_UNITS,1F_MIN_UNIT,1F_MIN_UNIT_UNITS,2F_AFF,2F_ELD,2F_MIN_LOT,2F_MIN_LOT_UNITS,2F_MAX_DENS,2F_MAX_DENS_UNITS,2F_FSET,2F_FSET_UNITS,2F_SSET,2F_SSET_UNITS,2F_RSET,2F_RSET_UNITS,2F_MAX_LOT_BLDG,2F_MAX_LOT_BLDG_UNITS,2F_MAX_LOT_IMP,2F_MAX_LOT_IMP_UNITS,2F_PARK_1BR,2F_PARK_1BR_UNITS,2F_PARK_2BR,2F_PARK_2BR_UNITS,2F_STORIES,2F_STORIES_UNITS,2F_HEIGHT,2F_HEIGHT_UNITS,2F_FTA,2F_FTA_UNITS,2F_MIN_UNIT,2F_MIN_UNIT_UNITS,3F_AFF,3F_ELD,3F_MIN_LOT,3F_MIN_LOT_UNITS,3F_MAX_DENS,3F_MAX_DENS_UNITS,3F_FSET,3F_FSET_UNITS,3F_SSET,3F_SSET_UNITS,3F_RSET,3F_RSET_UNITS,3F_MAX_LOT_BLDG,3F_MAX_LOT_BLDG_UNITS,3F_MAX_LOT_IMP,3F_MAX_LOT_IMP_UNITS,3F_PARK_1BR,3F_PARK_1BR_UNITS,3F_PARK_2BR,3F_PARK_2BR_UNITS,3F_CNXN_H2O,3F_CNXN_TRANSIT,3F_STORIES,3F_STORIES_UNITS,3F_HEIGHT,3F_HEIGHT_UNITS,3F_FTA,3F_FTA_UNITS,3F_MIN_UNIT,3F_MIN_UNIT_UNITS,3F_BEDROOMS,3F_BEDROOMS_UNITS,4F_AFF,4F_ELD,4F_MIN_LOT,4F_MIN_LOT_UNITS,4F_MAX_DENS,4F_MAX_DENS_UNITS,4F_FSET,4F_FSET_UNITS,4F_SSET,4F_SSET_UNITS,4F_RSET,4F_RSET_UNITS,4F_MAX_LOT_BLDG,4F_MAX_LOT_BLDG_UNITS,4F_MAX_LOT_IMP,4F_MAX_LOT_IMP_UNITS,4F_PARK_1BR,4F_PARK_1BR_UNITS,4F_PARK_2BR,4F_PARK_2BR_UNITS,4F_CNXN_H2O,4F_CNXN_TRANSIT,4F_STORIES,4F_STORIES_UNITS,4F_HEIGHT,4F_HEIGHT_UNITS,4F_FTA,4F_FTA_UNITS,4F_MIN_UNIT,4F_MIN_UNIT_UNITS,4F_BEDROOMS,4F_BEDROOMS_UNITS,4F_MAX_UNITS,4F_MAX_UNITS_UNITS,AFFDP,AFF_DEF,AFF_ELD_ONLY,AFF_MIN_LOT,AFF_MIN_LOT_UNITS,AFF_MAX_DENS,AFF_MAX_DENS_UNITS,AFF_PARK_1BR,AFF_PARK_1BR_UNITS,AFF_PARK_2BR,AFF_PARK_2BR,AFF_CNXN_H2O,AFF_CNXN_TRANSIT,AFF_MIN_UNIT,AFF_MIN_UNIT_UNITS,AFF_BEDROOMS,AFF_BEDROOMS_UNITS,AFF_MAX_UNITS,AFF_MAX_UNIT_UNITS,ADUDP,ADU_EMP_REQD,ADU_RENTER_PROH,ADU_OWNER_REQD,ADU_ELD,ADU_MIN_LOT,ADU_MIN_LOT_UNITS,ADU_PARK,ADU_PARK_UNITS,ADU_PRIM_STRUC,ADU_MAX_PCT,ADU_MAX_PCT_UNITS,ADU_MAX_SIZE,ADU_MAX_SIZE_UNITS,ADU_BEDROOMS,ADU_BEDROOMS_UNITS,PRDDP,PRD_MHP,PRD_MIN_LOT,PRD_MIN_LOT_UNITS,PRD_MAX_DENS,PRD_MAX_DENS_UNITS,PRD_MAX_UNITS,PRD_MAX_UNITS_UNITS,SPNOTES,TTIPNOTES,5F_AFF,5F_ELD,5F_MIN_LOT,5F_MAX_DENS,5F_FSET,5F_SSET,5F_RSET,5F_MAX_LOT_BLDG,5F_MAX_LOT_IMP,5F_PARK_1BR,5F_PARK_2BR,5F_CNXN_H2O,5F_CNXN_TRANSIT,5F_STORIES,5F_FEET,5F_FTA,5F_MIN_UNIT,5F_BEDROOMS,5F_MAX_UNITS,BASE_DENS,1F_FRONT,2F_FRONT,3F_FRONT,4F_FRONT,5F_FRONT,PUD_SUBDV,PUD_THRESH,PUD_ALLOW,PUD_CONSERVE,GIS_ID
FP,Completed,2023-11-14,Published,2024-02-02,Vermont,Chittenden County,Essex Junction,,Flood Plain,2023-08-02,,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,f,f,,,,,,,,,,,,,,,f,f,EssexJunction_Flood Plain
HA,Completed,2023-11-14,Published,2024-02-02,Vermont,Chittenden County,Essex Junction,,Highway - Arterial,2023-08-15,,Yes,No,No,Mixed with Residential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,,No,0.23,Acres per Development,,Units per Acre,1.0,Spaces per Unit,1.1,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Allowed/Conditional,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,f,f,0.23,,20.0,10.0,10.0,80.0,,1.0,1.1,f,f,4.0,58.0,,,,,4.34,,,,,,f,,t,f,EssexJunction_Highway-Arterial
LI,Completed,2023-11-14,Published,2024-02-02,Vermont,Chittenden County,Essex Junction,,Light Industrial,2023-08-02,,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,f,f,,,,,,,,,,,,,f,,f,f,EssexJunction_Light Industrial
MCU,Completed,2023-11-14,Published,2024-02-02,Vermont,Chittenden County,Essex Junction,,Mixed Commercial Use District,2023-08-02,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.35,Acres,20.0,Feet,10.0,Feet,10.0,Feet,80.0,Percent,,Percent,1.0,Spaces per Unit,4.0,Stories,58.0,Feet,,Ratio,,Square Feet,No,No,0.35,Acres per 2-Family,,Units per Acre,20.0,Feet,10.0,Feet,10.0,Feet,80.0,Percent,,Percent,1.0,Spaces per Unit,1.1,Spaces per Unit,4.0,Stories,58.0,Feet,,Ratio,,Square Feet,No,No,0.35,Acres per 3-Family,,Units per Acre,20.0,Feet,10.0,Feet,10.0,Feet,80.0,Percent,,Percent,1.0,Spaces per Unit,1.1,Spaces per Unit,No,No,4.0,Stories,58.0,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,0.35,Acres per 4+-Family,,Units per Acre,20.0,Feet,10.0,Feet,10.0,Feet,80.0,Percent,,Percent,1.0,Spaces per Unit,1.1,Spaces per Unit,No,No,4.0,Stories,58.0,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,,No,0.35,Acres per Development,,Units per Acre,1.0,Spaces per Unit,1.1,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,Yes,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,900.0,Square Feet,,Bedrooms per Unit,Allowed/Conditional,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,f,f,0.35,,20.0,10.0,10.0,80.0,,1.0,1.1,f,f,4.0,58.0,,,,,2.85,60.0,60.0,60.0,60.0,60.0,f,,t,f,EssexJunction_Mixed Commercial Use
MF1,Completed,2023-11-14,Published,2024-02-02,Vermont,Chittenden County,Essex Junction,,Multi-Family Residential 1,2023-08-02,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.17,Acres,30.0,Feet,10.0,Feet,10.0,Feet,50.0,Percent,,,1.0,Spaces per Unit,3.0,Stories,35.0,Feet,,,,,No,No,0.17,Acres per 2-Family,,,30.0,Feet,10.0,Feet,10.0,Feet,50.0,Percent,,,1.0,Spaces per Unit,1.1,Spaces per Unit,3.0,Stories,35.0,Feet,,,,,No,No,0.17,Acres per 3-Family,,,30.0,Feet,10.0,Feet,10.0,Feet,50.0,Percent,,,1.0,Spaces per Unit,1.1,Spaces per Unit,No,No,3.0,Stories,35.0,Feet,,,,,,,No,No,0.17,Acres per 4+-Family,,,30.0,Feet,10.0,Feet,10.0,Feet,50.0,Percent,,,1.0,Spaces per Unit,1.1,Spaces per Unit,No,No,3.0,Stories,35.0,Feet,,,,,,,,,Allowed/Conditional,,No,0.17,Acres per Development,,,1.0,Spaces per Unit,1.1,Spaces per Unit,No,No,,,,,,,Allowed/Conditional,No,No,No,No,,,1.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,900.0,Square Feet,,,Allowed/Conditional,No,,,,,,,,,f,f,0.17,,30.0,10.0,10.0,50.0,,1.0,1.1,f,f,3.0,35.0,,,,,5.88,60.0,60.0,60.0,60.0,60.0,f,,t,f,EssexJunction_Multi-Family Residential 1
MF2,Completed,2023-11-14,Published,2024-02-02,Vermont,Chittenden County,Essex Junction,,Mult-Family Residential 2,2023-08-02,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.17,Acres,15.0,Feet,10.0,Feet,10.0,Feet,50.0,Percent,,,1.0,Spaces per Unit,3.0,Stories,35.0,Feet,,,,,No,No,0.17,Acres per 2-Family,,,15.0,Feet,10.0,Feet,10.0,Feet,50.0,Percent,,,1.0,Spaces per Unit,1.1,Spaces per Unit,3.0,Stories,35.0,Feet,,,,,No,No,0.17,Acres per 3-Family,,,15.0,Feet,10.0,Feet,10.0,Feet,50.0,Percent,,,1.0,Spaces per Unit,1.1,Spaces per Unit,No,No,3.0,Stories,35.0,Feet,,,,,,,No,No,0.17,Acres per 4+-Family,,,15.0,Feet,10.0,Feet,10.0,Feet,50.0,Percent,,,1.0,Spaces per Unit,1.1,Spaces per Unit,No,No,3.0,Stories,35.0,Feet,,,,,,,,,Allowed/Conditional,,No,0.17,Acres per Development,,,1.0,Spaces per Unit,1.1,Spaces per Unit,No,No,,,,,,,Allowed/Conditional,No,No,No,No,,,,,No,30.0,Percent of Main Unit,900.0,Square Feet,,,Allowed/Conditional,No,,,,,,,,,f,f,0.17,,15.0,10.0,10.0,50.0,,1.0,1.1,f,f,3.0,35.0,,,,,5.88,60.0,60.0,60.0,60.0,60.0,f,,t,f,EssexJunction_Multi-Family Residential 2
MF3,Completed,2023-11-14,Published,2024-02-02,Vermont,Chittenden County,Essex Junction,,Multi-Family Residential 3,2023-08-02,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.17,Acres,30.0,Feet,10.0,Feet,10.0,Feet,40.0,Percent,,,1.0,Spaces per Unit,3.0,Stories,35.0,Feet,,,,,No,No,0.17,Acres per 2-Family,,,30.0,Feet,10.0,Feet,10.0,Feet,40.0,Percent,,,1.0,Spaces per Unit,1.1,Spaces per Unit,3.0,Stories,35.0,Feet,,,,,No,No,0.17,Acres per 3-Family,,,30.0,Feet,10.0,Feet,10.0,Feet,40.0,Percent,,,1.0,Spaces per Unit,1.1,Spaces per Unit,No,No,3.0,Stories,35.0,Feet,,,,,,,No,No,0.17,Acres per 4+-Family,,,30.0,Feet,10.0,Feet,10.0,Feet,40.0,Percent,,,1.0,Spaces per Unit,1.1,Spaces per Unit,No,No,3.0,Stories,35.0,Feet,,,,,,,,,Allowed/Conditional,,No,0.17,Acres per Development,,,1.0,Spaces per Unit,1.1,Spaces per Unit,No,No,,,,,,,Allowed/Conditional,No,No,No,No,,,,,No,30.0,Percent of Main Unit,900.0,Square Feet,,,Allowed/Conditional,No,,,,,,,,,f,f,0.17,,30.0,10.0,10.0,40.0,,1.0,1.1,f,f,3.0,35.0,,,,,5.88,60.0,60.0,60.0,60.0,60.0,f,,t,f,EssexJunction_Multi-Family Residential 3
MF-MU1,Completed,2023-08-21,Published,2024-02-02,Vermont,Chittenden County,Essex Junction,,Multi-Family/Mixed-Use-1 District,2023-08-02,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.35,Acres,20.0,Feet,10.0,Feet,10.0,Feet,80.0,Percent,,,1.0,Spaces per Unit,4.0,Stories,58.0,Feet,,,,,No,No,0.35,Acres per 2-Family,,,20.0,Feet,10.0,Feet,10.0,Feet,80.0,Percent,,,1.0,Spaces per Unit,1.1,Spaces per Unit,4.0,Stories,58.0,Feet,,,,,No,No,0.35,Acres per 3-Family,,,20.0,Feet,10.0,Feet,10.0,Feet,80.0,Percent,,,1.0,Spaces per Unit,1.1,Spaces per Unit,No,No,4.0,Stories,58.0,Feet,,,,,,,No,No,0.35,Acres per 4+-Family,,,20.0,Feet,10.0,Feet,10.0,Feet,80.0,Percent,,,1.0,Spaces per Unit,1.1,Spaces per Unit,No,No,4.0,Stories,58.0,Feet,,,,,,,,,Allowed/Conditional,,No,0.35,Acres per Development,,,1.0,Spaces per Unit,1.1,Spaces per Unit,No,No,,,,,,,Allowed/Conditional,No,No,No,No,,,,,No,30.0,Percent of Main Unit,900.0,Square Feet,,,Allowed/Conditional,No,,,,,,,,,f,f,0.35,,20.0,10.0,10.0,80.0,,1.0,1.1,f,f,4.0,58.0,,,,,2.85,60.0,60.0,60.0,60.0,60.0,f,,t,f,
MF-MU2,Completed,2023-11-14,Published,2024-02-02,Vermont,Chittenden County,Essex Junction,,Multi-Family/Mixed-Use-2 District,2023-08-02,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.35,Acres,20.0,Feet,10.0,Feet,10.0,Feet,80.0,Percent,,,1.0,Spaces per Unit,4.0,Stories,58.0,Feet,,,,,No,No,0.35,Acres per 2-Family,15.0,Units per Acre,20.0,Feet,10.0,Feet,10.0,Feet,80.0,Percent,,,1.0,Spaces per Unit,1.1,Spaces per Unit,4.0,Stories,58.0,Feet,,,,,No,No,0.35,Acres per 3-Family,15.0,Units per Acre,20.0,Feet,10.0,Feet,10.0,Feet,80.0,Percent,,,1.0,Spaces per Unit,1.1,Spaces per Unit,No,No,4.0,Stories,58.0,Feet,,,,,,,No,No,0.35,Acres per 4+-Family,15.0,Units per Acre,20.0,Feet,10.0,Feet,10.0,Feet,80.0,Percent,,,1.0,Spaces per Unit,1.1,Spaces per Unit,No,No,4.0,Stories,58.0,Feet,,,,,,,,,Allowed/Conditional,,No,0.35,Acres per Development,15.0,Units per Acre,1.0,Spaces per Unit,1.1,Spaces per Unit,No,No,,,,,,,Allowed/Conditional,No,No,No,No,,,,,No,30.0,Percent of Main Unit,900.0,Square Feet,,,Allowed/Conditional,No,,,,,,,,,f,f,0.35,15.0,20.0,10.0,10.0,80.0,,1.0,1.1,f,f,4.0,58.0,,,,,2.85,60.0,60.0,60.0,60.0,60.0,f,,t,f,EssexJunction_Multi-Family/Mixed Use-2
NLSO,Completed,2023-11-14,Published,2024-02-02,Vermont,Chittenden County,Essex Junction,,North Lincoln Street Overlay District,2023-08-02,,Yes,No,Yes,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,f,f,
