ABB_DIST_NAME,STAT,LAST_UPDATE,JXTN_STAT,Jurisdiction Last Updated,STATE,COUNTY,JXTN,PARENT_JXTN,DIST_NAME,BYLAW_EFF,CHANGE_EXP,DIST_MAP,EXT_DIST,OVER,DIST_TYPE,AFF_DIST,ELD_DIST,1FDP,2FDP,3FDP,4FDP,1F_MIN_LOT,1F_MIN_LOT_UNITS,1F_FSET,1F_FSET_UNITS,1F_SSET,1F_SSET_UNITS,1F_RSET,1F_RSET_UNITS,1F_MAX_LOT_BLDG,1F_MAX_LOT_BLDG_UNITS,1F_MAX_LOT_IMP,1F_MAX_LOT_IMP_UNITS,1F_PARK,1F_PARK_UNITS,1F_STORIES,1F_STORIES_UNITS,1F_HEIGHT,1F_HEIGHT_UNITS,1F_FTA,1F_FTA_UNITS,1F_MIN_UNIT,1F_MIN_UNIT_UNITS,2F_AFF,2F_ELD,2F_MIN_LOT,2F_MIN_LOT_UNITS,2F_MAX_DENS,2F_MAX_DENS_UNITS,2F_FSET,2F_FSET_UNITS,2F_SSET,2F_SSET_UNITS,2F_RSET,2F_RSET_UNITS,2F_MAX_LOT_BLDG,2F_MAX_LOT_BLDG_UNITS,2F_MAX_LOT_IMP,2F_MAX_LOT_IMP_UNITS,2F_PARK_1BR,2F_PARK_1BR_UNITS,2F_PARK_2BR,2F_PARK_2BR_UNITS,2F_STORIES,2F_STORIES_UNITS,2F_HEIGHT,2F_HEIGHT_UNITS,2F_FTA,2F_FTA_UNITS,2F_MIN_UNIT,2F_MIN_UNIT_UNITS,3F_AFF,3F_ELD,3F_MIN_LOT,3F_MIN_LOT_UNITS,3F_MAX_DENS,3F_MAX_DENS_UNITS,3F_FSET,3F_FSET_UNITS,3F_SSET,3F_SSET_UNITS,3F_RSET,3F_RSET_UNITS,3F_MAX_LOT_BLDG,3F_MAX_LOT_BLDG_UNITS,3F_MAX_LOT_IMP,3F_MAX_LOT_IMP_UNITS,3F_PARK_1BR,3F_PARK_1BR_UNITS,3F_PARK_2BR,3F_PARK_2BR_UNITS,3F_CNXN_H2O,3F_CNXN_TRANSIT,3F_STORIES,3F_STORIES_UNITS,3F_HEIGHT,3F_HEIGHT_UNITS,3F_FTA,3F_FTA_UNITS,3F_MIN_UNIT,3F_MIN_UNIT_UNITS,3F_BEDROOMS,3F_BEDROOMS_UNITS,4F_AFF,4F_ELD,4F_MIN_LOT,4F_MIN_LOT_UNITS,4F_MAX_DENS,4F_MAX_DENS_UNITS,4F_FSET,4F_FSET_UNITS,4F_SSET,4F_SSET_UNITS,4F_RSET,4F_RSET_UNITS,4F_MAX_LOT_BLDG,4F_MAX_LOT_BLDG_UNITS,4F_MAX_LOT_IMP,4F_MAX_LOT_IMP_UNITS,4F_PARK_1BR,4F_PARK_1BR_UNITS,4F_PARK_2BR,4F_PARK_2BR_UNITS,4F_CNXN_H2O,4F_CNXN_TRANSIT,4F_STORIES,4F_STORIES_UNITS,4F_HEIGHT,4F_HEIGHT_UNITS,4F_FTA,4F_FTA_UNITS,4F_MIN_UNIT,4F_MIN_UNIT_UNITS,4F_BEDROOMS,4F_BEDROOMS_UNITS,4F_MAX_UNITS,4F_MAX_UNITS_UNITS,AFFDP,AFF_DEF,AFF_ELD_ONLY,AFF_MIN_LOT,AFF_MIN_LOT_UNITS,AFF_MAX_DENS,AFF_MAX_DENS_UNITS,AFF_PARK_1BR,AFF_PARK_1BR_UNITS,AFF_PARK_2BR,AFF_PARK_2BR_UNITS,AFF_CNXN_H2O,AFF_CNXN_TRANSIT,AFF_MIN_UNIT,AFF_MIN_UNIT_UNITS,AFF_BEDROOMS,AFF_BEDROOMS_UNITS,AFF_MAX_UNITS,AFF_MAX_UNIT_UNITS,ADUDP,ADU_EMP_REQD,ADU_RENTER_PROH,ADU_OWNER_REQD,ADU_ELD,ADU_MIN_LOT,ADU_MIN_LOT_UNITS,ADU_PARK,ADU_PARK_UNITS,ADU_PRIM_STRUC,ADU_MAX_PCT,ADU_MAX_PCT_UNITS,ADU_MAX_SIZE,ADU_MAX_SIZE_UNITS,ADU_BEDROOMS,ADU_BEDROOMS_UNITS,PRDDP,PRD_MHP,PRD Min. Development Size,PRD_MIN_LOT_UNITS,PRD_MAX_DENS,PRD_MAX_DENS_UNITS,PRD_MAX_UNITS,PRD_MAX_UNITS_UNITS,SPNOTES,TTIPNOTES,5F_AFF,5F_ELD,5F_MIN_LOT,5F_MAX_DENS,5F_FSET,5F_SSET,5F_RSET,5F_MAX_LOT_BLDG,5F_MAX_LOT_IMP,5F_PARK_1BR,5F_PARK_2BR,5F_CNXN_H2O,5F_CNXN_TRANSIT,5F_STORIES,5F_FEET,5F_FTA,5F_MIN_UNIT,5F_BEDROOMS,5F_MAX_UNITS,BASE_DENS,1F_FRONT,2F_FRONT,3F_FRONT,4F_FRONT,5F_FRONT,PUD_SUBDV,PUD_THRESH,PUD_ALLOW,PUD_CONSERVE,GIS_ID
B,Completed,2024-04-02,Published,2024-04-05,Vermont,Rutland County,Killington,,Business District,2024-03-09,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Public Hearing,Public Hearing,0.23,Acres,15.0,Feet,15.0,Feet,25.0,Feet,70.0,Percent,,,Greater of 2 per dwelling unit and 0.8 per bedroom,Alternatives,,,40.0,Feet,,,,,No,No,0.23,Acres per 2-Family,,,15.0,Feet,15.0,Feet,25.0,Feet,70.0,Percent,,,2,Spaces per Unit,Greater of 2 per dwelling unit and 0.8 per bedroom,Alternatives,,,,Feet,,Ratio,,Square Feet,No,No,0.23,Acres per 3-Family,,,15.0,Feet,15.0,Feet,25.0,Feet,70.0,Percent,,,1.0,Spaces per Unit,1.6 per unit + 0.8 per additional BR ,Alternatives,Yes,No,,,40.0,Feet,,,,,,,No,No,0.23,Acres per 4+-Family,,,15.0,Feet,15.0,Feet,25.0,Feet,70.0,Percent,,,1.0,Spaces per Unit,1.6 per unit + 0.8 per additional BR ,Alternatives,Yes,No,,,40.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,,,,,Yes,30.0,Percent of Main Unit,,,,,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,"1 Family and 2 Family lot requirements in PUD:
Front Setbacks*: Minimum 15'
Side Setback*: Minimum 50'
Rear Setback*: Minimum 50'
Maximum Coverage*: 70%
Minimum Lot Area: 5 Acres
Minimum Lot Area per
Dwelling Unit*: 6,500 sq.ft.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,
CB,Completed,2024-04-02,Published,2024-04-05,Vermont,Rutland County,Killington,,Commercial/Business District,2024-03-09,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Public Hearing,Public Hearing,0.23,Acres,15.0,Feet,15.0,Feet,25.0,Feet,70.0,Percent,,,Greater of 2 per dwelling unit and 0.8 per bedroom,Alternatives,,,40.0,Feet,,,,,No,No,0.23,Acres per 2-Family,,,15.0,Feet,15.0,Feet,25.0,Feet,70.0,Percent,,,Greater of 2 per dwelling unit and 0.8 per bedroom,Alternatives,Greater of 2 per dwelling unit and 0.8 per bedroom,Alternatives,,,40.0,Feet,,,,,No,No,0.23,Acres per 3-Family,,,15.0,Feet,15.0,Feet,25.0,Feet,70.0,Percent,,,1.0,Spaces per Unit,3.2 + 0.5 per additional bedroom after 4 bedrooms,Alternatives,Yes,No,,,40.0,Feet,,,,,,,No,No,0.23,Acres per 4+-Family,,,15.0,Feet,15.0,Feet,25.0,Feet,70.0,Percent,,,1.0,Spaces per Unit,3.2 + 0.5 per additional bedroom after 4 bedrooms,Alternatives,Yes,No,,,40.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,,,,,Yes,30.0,Percent of Main Unit,,,,,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,
C-KB,Completed,2024-04-02,Published,2024-04-05,Vermont,Rutland County,Killington,,Commercial District - Killington Basin,2024-03-09,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Public Hearing,Public Hearing,0.23,Acres,15.0,Feet,15.0,Feet,25.0,Feet,70.0,Percent,,,Greater of 2 spaces per Dwelling Unit or .8 spaces per Bedroom ,Alternatives,,,40.0,Feet,,,,,No,No,0.23,Acres per 2-Family,,,15.0,Feet,15.0,Feet,25.0,Feet,70.0,Percent,,,0.8,Spaces per Unit,Greater of 2 spaces per Dwelling Unit or .8 spaces per Bedroom,Alternatives,,,40.0,Feet,,,,,No,No,0.23,Acres per 3-Family,,,15.0,Feet,15.0,Feet,25.0,Feet,70.0,Percent,,,0.8,Spaces per Unit,Greater of 2 spaces per Dwelling Unit or .8 spaces per Bedroom,Alternatives,Yes,No,,,40.0,Feet,,,,,,,No,No,0.23,Acres per 4+-Family,,,15.0,Feet,15.0,Feet,25.0,Feet,70.0,Percent,,,0.8,Spaces per Unit,Greater of 2 spaces per Dwelling Unit or .8 spaces per Bedroom,Alternatives,Yes,No,,,40.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,,,,,Yes,30.0,Percent of Main Unit,,,,,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,t,,
C-R4,Completed,2024-04-02,Published,2024-04-05,Vermont,Rutland County,Killington,,Commercial District - Route 4,2024-03-09,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.23,Acres,15.0,Feet,15.0,Feet,25.0,Feet,70.0,Percent,,,Greater of 2 spaces per Dwelling Unit or .8 spaces per Bedroom,Alternatives,,,40.0,Feet,,,,,No,No,0.23,Acres per 2-Family,,,15.0,Feet,15.0,Feet,25.0,Feet,70.0,Percent,,,2,Spaces per Unit,Greater of 2 spaces per Dwelling Unit or .8 spaces per Bedroom,Alternatives,,,40.0,Feet,,,,,No,No,0.15,Acres per 3-Family,,,15.0,Feet,15.0,Feet,25.0,Feet,70.0,Percent,,,2.0,Spaces per Unit,Greater of 2 spaces per Dwelling Unit or .8 spaces per Bedroom,Alternatives,Yes,No,,,40.0,Feet,,,,,,,No,No,0.15,Acres per 4+-Family,,,15.0,Feet,15.0,Feet,25.0,Feet,70.0,Percent,,,2.0,Spaces per Unit,Greater of 2 spaces per Dwelling Unit or .8 spaces per Bedroom,Alternatives,Yes,No,,,40.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,,,,,Yes,30.0,Percent of Main Unit,,,,,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,f,f,0.15,,15.0,15.0,25.0,70.0,,2.0,,t,f,,40.0,,,,,,,,,,,,,t,,
FP,Completed,2024-04-02,Published,2024-04-05,Vermont,Rutland County,Killington,,Foster's Peak District,2024-03-09,,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,
FR,Completed,2024-04-02,Published,2024-04-05,Vermont,Rutland County,Killington,,Forest Reserve District,2024-03-09,,Yes,No,No,Mixed with Residential,No,No,Public Hearing,Public Hearing,Prohibited,Prohibited,10.0,Acres,25.0,Feet,50.0,Feet,50.0,Feet,5.0,Percent,,,Greater of 2 per dwelling unit and 0.8 per bedroom,Alternatives,,,40.0,Feet,,,,,No,No,10.0,Acres per 2-Family,,,25.0,Feet,50.0,Feet,50.0,Feet,5.0,Percent,,,Greater of 2 per dwelling unit and 0.8 per bedroom,Alternatives,Greater of 2 per dwelling unit and 0.8 per bedroom,Alternatives,,,40.0,Feet,,,,,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,,,,,Yes,30.0,Percent of Main Unit,,,,,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,"One- or Two- Family dwellings are permitted below 1700' and conditional, requiring a public hearing, at higher elevation. Since the majority of the district is above 1700' that standard has been entered into the editor.","One- or Two- Family dwellings are permitted below 1700' and conditional, requiring a public hearing, at higher elevation. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,
HM,Completed,2024-04-02,Published,2024-04-05,Vermont,Rutland County,Killington,,Hamlet District,2024-03-09,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.92,Acres,20.0,Feet,25.0,Feet,25.0,Feet,30.0,Percent,,,Greater of 2 spaces per Dwelling Unit or .8 spaces per Bedroom,Alternatives,,,40.0,Feet,,,,,No,No,0.92,Acres per 2-Family,,,20.0,Feet,25.0,Feet,25.0,Feet,30.0,Percent,,,2,Spaces per Unit,Greater of 2 spaces per Dwelling Unit or .8 spaces per Bedroom,Alternatives,,,40.0,Feet,,,,,No,No,0.92,Acres per 3-Family,,,20.0,Feet,25.0,Feet,25.0,Feet,30.0,Percent,,,2.0,Spaces per Unit,Greater of 2 spaces per Dwelling Unit or .8 spaces per Bedroom,Alternatives,Yes,No,,,40.0,Feet,,,,,,,No,No,0.92,Acres per 4+-Family,,,20.0,Feet,25.0,Feet,25.0,Feet,30.0,Percent,,,2.0,Spaces per Unit,Greater of 2 spaces per Dwelling Unit or .8 spaces per Bedroom,Alternatives,Yes,No,,,40.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,,,,,Yes,30.0,Percent of Main Unit,,,,,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,f,f,0.92,,20.0,25.0,25.0,30.0,,,,t,f,,40.0,,,,,,,,,,,,,t,,
PD,Completed,2024-04-05,Published,2024-04-05,Vermont,Rutland County,Killington,,Public Open Space District,2024-03-09,,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDK,Completed,2024-04-05,Published,2024-04-05,Vermont,Rutland County,Killington,,Public Open Space - Killington District,2024-03-09,,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1,Completed,2024-04-02,Published,2024-04-05,Vermont,Rutland County,Killington,,Residential 1 District,2024-03-09,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,0.92,Acres,25.0,Feet,25.0,Feet,25.0,Feet,10.0,Percent,,,Greater of 2 spaces per Dwelling Unit or .8 spaces per Bedroom,Alternatives,,,40.0,Feet,,,,,No,No,0.92,Acres per 2-Family,,,25.0,Feet,25.0,Feet,25.0,Feet,10.0,Percent,,,2,Spaces per Unit,Greater of 2 spaces per Dwelling Unit or .8 spaces per Bedroom,Alternatives,,,40.0,Feet,,,,,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,,,,,Yes,30.0,Percent of Main Unit,,,,,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,"USES IN PUD
One and Two and multi
Family Dwellings or
any combination
thereof.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,
